city,state,permalink,created_at,lat,long,zika_cases,color
Morazan,El Salvador,El_Salvador_Morazan_20151128,2015-11-28 00:00:00,13.7682,-88.1291,1.0085365065,0
San Luis Potosi,Mexico,Mexico_San_Luis_Potosi_20151128,2015-11-28 00:00:00,22.1565,-100.9855,1.0,2
Coahuila de Zaragoza,Mexico,Mexico_Coahuila_de_Zaragoza_20151128,2015-11-28 00:00:00,27.0587,-101.7068,1.0,0
Quintana Roo,Mexico,Mexico_Quintana_Roo_20151128,2015-11-28 00:00:00,19.1817,-88.4791,1.0,1
San Miguel,El Salvador,El_Salvador_San_Miguel_20151128,2015-11-28 00:00:00,13.4793,-88.1779,1.034146026,0
Guanajuato,Mexico,Mexico_Guanajuato_20151128,2015-11-28 00:00:00,20.917,-101.1617,1.0,3
Yucatan,Mexico,Mexico_Yucatan_20151128,2015-11-28 00:00:00,20.7099,-89.0943,1.0,0
Morelos,Mexico,Mexico_Morelos_20151128,2015-11-28 00:00:00,18.6813,-99.1013,1.0,3
La Libertad,El Salvador,El_Salvador_La_Libertad_20151128,2015-11-28 00:00:00,13.4907,-89.3085,1.13231585074,0
Queretaro de Arteaga,Mexico,Mexico_Queretaro_de_Arteaga_20151128,2015-11-28 00:00:00,20.5888,-100.3899,1.0,2
Zacatecas,Mexico,Mexico_Zacatecas_20151128,2015-11-28 00:00:00,22.7709,-102.5832,1.0,2
Hidalgo,Mexico,Mexico_Hidalgo_20151128,2015-11-28 00:00:00,20.0911,-98.7624,1.0,3
Nayarit,Mexico,Mexico_Nayarit_20151128,2015-11-28 00:00:00,21.7514,-104.8455,1.0,0
Puebla,Mexico,Mexico_Puebla_20151128,2015-11-28 00:00:00,19.0413,-98.2062,1.0,3
La Paz,El Salvador,El_Salvador_La_Paz_20151128,2015-11-28 00:00:00,13.4954,-88.9797,1.00213412662,0
Campeche,Mexico,Mexico_Campeche_20151128,2015-11-28 00:00:00,18.9312,-90.2618,1.0,0
